word,trans,kk,level
a/an,一, /æn/,1
able,能；可以, /ˈebl/,1
about,關於, /əˈbaʊt/,1
above,在...上面, /əˈbʌv/,1
according to,根據, /əˈkɔrdɪŋ tu/,1
across,穿過, /əˈkrɔs/,1
act,扮演, /ækt/,1
action,行動, /ˈækʃən/,1
actor/actress,男演員/女演員, /ˈæktɚ/ /ˈæktrɪs/,1
add,添加, /æd/,1
address,地址, /əˈdrɛs/,1
adult,成年人, /əˈdʌlt/,1
afraid,害怕的, /əˈfred/,1
after,在...之後, /ˈæftɚ/,1
afternoon,下午, /ˌæftɚˈnun/,1
again,再次, /əˈɡɛn/,1
against,反對；對抗, /əˈɡɛnst/,1
age,年齡, /edʒ/,1
ago,之前, /əˈɡo/,1
agree,同意, /əˈɡri/,1
ahead,向前；提前, /əˈhɛd/,1
air,空氣, /ɛr/,1
airplane/plane,飛機, /ˈɛrˌplen/ /plen/,1
airport,機場, /ˈɛrˌpɔrt/,1
all,全部, /ɔl/,1
almost,幾乎, /ˈɔlˌmost/,1
along,沿著, /əˈlɔŋ/,1
already,已經, /ɔlˈrɛdi/,1
also,也, /ˈɔlso/,1
although,雖然, /ɔlˈðo/,1
always,總是, /ˈɔlwez/,1
ambulance,救護車, /ˈæmbjələns/,1
america,美國, /əˈmɛrəkə/,1
american,美國的；美國人, /əˈmɛrəkən/,1
and,和, /ænd/,1
angry,生氣的, /ˈæŋɡri/,1
animal,動物, /ˈænəməl/,1
another,另一個, /əˈnʌðɚ/,1
answer,回答, /ˈænsɚ/,1
any,任何, /ˈɛni/,1
anyone/anybody,任何人, /ˈɛniˌwʌn/ /ˈɛniˌbɑdi/,1
anything,任何事, /ˈɛniˌθɪŋ/,1
apartment,公寓, /əˈpɑrtmənt/,1
appear,出現, /əˈpɪr/,1
apple,蘋果, /ˈæpl/,1
april,四月, /ˈeprəl/,1
area,區域, /ˈɛriə/,1
arm,手臂, /ɑrm/,1
army,陸軍；軍隊, /ˈɑrmi/,1
around,在...周圍, /əˈraʊnd/,1
arrange,安排, /əˈrendʒ/,1
arrive,到達, /əˈraɪv/,1
art,藝術, /ɑrt/,1
artist,藝術家, /ˈɑrtɪst/,1
as,作為；當...時, /æz/,1
ask,詢問；要求, /æsk/,1
at,在, /æt/,1
attack,攻擊, /əˈtæk/,1
august,八月, /ˈɔɡəst/,1
aunt,伯母；姑母；姨母, /ænt/,1
autumn/fall,秋天, /ˈɔtəm/ /fɔl/,1
away,離開, /əˈwe/,1
baby,嬰兒, /ˈbebi/,1
back,背部；後面, /bæk/,1
bad,壞的, /bæd/,1
bag,包包, /bæɡ/,1
bakery,麵包店, /ˈbekəri/,1
balcony,陽台, /ˈbælkəni/,1
ball,球, /bɔl/,1
banana,香蕉, /bəˈnænə/,1
band,樂團, /bænd/,1
bank,銀行, /bæŋk/,1
barbecue,烤肉, /ˈbɑrbɪˌkju/,1
baseball,棒球, /ˈbesˌbɔl/,1
basket,籃子, /ˈbæskɪt/,1
basketball,籃球, /ˈbæskətˌbɔl/,1
bat,球棒；蝙蝠, /bæt/,1
bath,洗澡, /bæθ/,1
bathroom,浴室, /ˈbæθˌrum/,1
be,是；存在, /bi/,1
beach,海灘, /bitʃ/,1
bear,熊；承受, /bɛr/,1
beautiful,美麗的, /ˈbjutəfəl/,1
because,因為, /bɪˈkɔz/,1
become,成為, /bɪˈkʌm/,1
bed,床, /bɛd/,1
bedroom,臥室, /ˈbɛdˌrum/,1
bee,蜜蜂, /bi/,1
beef,牛肉, /bif/,1
before,在...之前, /bɪˈfɔr/,1
begin,開始, /bɪˈɡɪn/,1
beginner,初學者, /bɪˈɡɪnɚ/,1
behind,在...後面, /bɪˈhaɪnd/,1
believe,相信, /bəˈliv/,1
bell,鈴；鐘, /bɛl/,1
belong,屬於, /bɪˈlɔŋ/,1
below,在...下面, /bəˈlo/,1
belt,皮帶, /bɛlt/,1
bench,長椅, /bɛntʃ/,1
beside,在...旁邊, /bɪˈsaɪd/,1
besides,此外；除了..., /bɪˈsaɪdz/,1
between,在...之間, /bəˈtwin/,1
bicycle/bike,腳踏車, /ˈbaɪsɪkl/ /baɪk/,1
big,大的, /bɪɡ/,1
bill,帳單；鈔票, /bɪl/,1
bird,鳥, /bɝd/,1
birthday,生日, /ˈbɝθˌde/,1
bite,咬, /baɪt/,1
bitter,苦的, /ˈbɪtɚ/,1
black,黑色的, /blæk/,1
blackboard,黑板, /ˈblækˌbɔrd/,1
blanket,毯子, /ˈblæŋkɪt/,1
blind,失明的, /blaɪnd/,1
block,街區；阻塞, /blɑk/,1
blow,吹, /blo/,1
blue,藍色的, /blu/,1
boat,小船, /bot/,1
body,身體, /ˈbɑdi/,1
boiled,煮沸的；水煮的, /bɔɪld/,1
book,書本；預訂, /bʊk/,1
bookstore,書店, /ˈbʊkˌstɔr/,1
bored,感到無聊的, /bɔrd/,1
boring,令人無聊的, /ˈbɔrɪŋ/,1
born,出生, /bɔrn/,1
borrow,借入, /ˈbɑro/,1
boss,老闆, /bɔs/,1
both,兩者都, /boθ/,1
bottle,瓶子, /ˈbɑtl/,1
bottom,底部, /ˈbɑtəm/,1
bowl,碗, /bol/,1
box,箱子；盒子, /bɑks/,1
boy,男孩, /bɔɪ/,1
bread,麵包, /brɛd/,1
break,打破；休息, /brek/,1
breakfast,早餐, /ˈbrɛkfəst/,1
bridge,橋樑, /brɪdʒ/,1
bright,明亮的, /braɪt/,1
bring,帶來, /brɪŋ/,1
brother,兄弟, /ˈbrʌðɚ/,1
brown,棕色的, /braʊn/,1
brush,刷子；刷, /brʌʃ/,1
bug,昆蟲, /bʌɡ/,1
build,建造, /bɪld/,1
building,建築物, /ˈbɪldɪŋ/,1
bus,公車, /bʌs/,1
busy,忙碌的, /ˈbɪzi/,1
but,但是, /bʌt/,1
butter,奶油, /ˈbʌtɚ/,1
butterfly,蝴蝶, /ˈbʌtɚˌflaɪ/,1
buy,購買, /baɪ/,1
by,在...旁邊；經由, /baɪ/,1
cabbage,高麗菜, /ˈkæbɪdʒ/,1
cable car,纜車, /ˈkebl kɑr/,1
cafe,咖啡廳, /kæˈfe/,1
cafeteria,自助餐廳, /ˌkæfəˈtɪriə/,1
cake,蛋糕, /kek/,1
calendar,日曆, /ˈkæləndɚ/,1
call,打電話；呼叫, /kɔl/,1
camel,駱駝, /ˈkæml/,1
camera,照相機, /ˈkæmrə/,1
camp,露營, /kæmp/,1
can,能；罐頭, /kæn/,1
candle,蠟燭, /ˈkændl/,1
candy,糖果, /ˈkændi/,1
cap,便帽, /kæp/,1
car,汽車, /kɑr/,1
card,卡片, /kɑrd/,1
care,關心；照顧, /kɛr/,1
careful,小心謹慎的, /ˈkɛrfəl/,1
careless,粗心的, /ˈkɛrlɪs/,1
carpet,地毯, /ˈkɑrpɪt/,1
carrot,胡蘿蔔, /ˈkærət/,1
carry,提；拿；搬運, /ˈkæri/,1
cart,手推車, /kɑrt/,1
cartoon,卡通, /kɑrˈtun/,1
case,盒；箱；情況, /kes/,1
cash,現金, /kæʃ/,1
cassette,卡帶, /kəˈsɛt/,1
cat,貓, /kæt/,1
catch,抓住；趕上, /kætʃ/,1
cause,造成；原因, /kɔz/,1
cd,光碟, /ˌsiˈdi/,1
ceiling,天花板, /ˈsilɪŋ/,1
cellphone,手機, /ˈsɛlˌfon/,1
cent,分（貨幣單位）, /sɛnt/,1
center,中心, /ˈsɛntɚ/,1
cereal,麥片, /ˈsɪriəl/,1
certain,確定的, /ˈsɝtn/,1
chair,椅子, /tʃɛr/,1
chalk,粉筆, /tʃɔk/,1
chance,機會, /tʃæns/,1
change,改變；零錢, /tʃendʒ/,1
cheap,便宜的, /tʃip/,1
cheat,作弊；欺騙, /tʃit/,1
check,檢查；支票, /tʃɛk/,1
cheer,歡呼；加油, /tʃɪr/,1
cheese,起司, /tʃiz/,1
chemistry,化學, /ˈkɛmɪstri/,1
chess,西洋棋, /tʃɛs/,1
chicken,雞肉；小雞, /ˈtʃɪkən/,1
child,小孩, /tʃaɪld/,1
china,中國, /ˈtʃaɪnə/,1
chinese,中國的；中文；中國人, /tʃaɪˈniz/,1
chocolate,巧克力, /ˈtʃɔklət/,1
choice,選擇, /tʃɔɪs/,1
choose,選擇, /tʃuz/,1
chopsticks,筷子, /ˈtʃɑpˌstɪks/,1
christmas,聖誕節, /ˈkrɪsməs/,1
church,教堂, /tʃɝtʃ/,1
circle,圓圈；畫圈, /ˈsɝkl/,1
city,城市, /ˈsɪti/,1
class,班級；課堂, /klæs/,1
classmate,同班同學, /ˈklæsˌmet/,1
classroom,教室, /ˈklæsˌrum/,1
clean,乾淨的；打掃, /klin/,1
clear,清楚的, /klɪr/,1
climb,爬, /klaɪm/,1
clock,時鐘, /klɑk/,1
close,關閉；親密的, /kloz/,1
closet,壁櫥；衣櫃, /ˈklɑzɪt/,1
clothes,衣服, /kloz/,1
clothes hanger,衣架, /kloz ˈhæŋɚ/,1
cloud,雲, /klaʊd/,1
cloudy,多雲的, /ˈklaʊdi/,1
club,社團；俱樂部, /klʌb/,1
coat,外套；大衣, /kot/,1
cockroach,蟑螂, /ˈkɑkˌrotʃ/,1
coffee,咖啡, /ˈkɑfi/,1
coin,硬幣, /kɔɪn/,1
coke,可樂, /kok/,1
cold,寒烈的；感冒, /kold/,1
collect,收集, /kəˈlɛkt/,1
college,大學；學院, /ˈkɑlɪdʒ/,1
color,顏色, /ˈkʌlɚ/,1
comb,梳子；梳頭, /kom/,1
come,來, /kʌm/,1
comfortable,舒適的, /ˈkʌmftərbəl/,1
comic,漫畫, /ˈkɑmɪk/,1
common,常見的；普遍的, /ˈkɑmən/,1
computer,電腦, /kəmˈpjutɚ/,1
convenient,方便的, /kənˈvinjənt/,1
cook,煮飯；廚師, /kʊk/,1
cookie,餅乾, /ˈkʊki/,1
cool,涼爽的；酷的, /kul/,1
copy,複製；抄寫, /ˈkɑpi/,1
corner,角落, /ˈkɔrnɚ/,1
correct,正確的；糾正, /kəˈrɛkt/,1
cost,花費；成本, /kɔst/,1
couch,沙發, /kaʊtʃ/,1
count,數數, /kaʊnt/,1
country,國家；鄉下, /ˈkʌntri/,1
cousin,堂表兄弟姊妹, /ˈkʌzn/,1
cover,覆蓋；封面, /ˈkʌvɚ/,1
cow,母牛, /kaʊ构造/,1
crazy,發瘋的；狂熱的, /ˈkrezi/,1
cream,鮮奶油, /krim/,1
cross,越過；十字架, /krɔs/,1
cry,哭泣, /kraɪ/,1
cup,杯子, /kʌp/,1
cupboard,櫥櫃, /ˈkʌbɚd/,1
cute,可愛的, /kjut/,1
cut,剪；切, /kʌt/,1
dad/daddy,爸爸, /dæd/ /ˈdædi/,1
dance,跳舞, /dæns/,1
dangerous,危險的, /ˈdendʒərəs/,1
dark,黑暗的, /dɑrk/,1
date,日期；約會, /det/,1
daughter,女兒, /ˈdɔtɚ/,1
day,天；白天, /de/,1
dead,死的, /dɛd/,1
deal,交易；處理, /dil/,1
dear,親愛的, /dɪr/,1
december,十二月, /dɪˈsɛmbɚ/,1
decide,決定, /dɪˈsaɪd/,1
delicious,美味的, /dɪˈlɪʃəs/,1
dentist,牙醫, /ˈdɛntɪst/,1
department,部門；科系, /dɪˈpɑrtmənt/,1
department store,百貨公司, /dɪˈpɑrtmənt stɔr/,1
describe,描述, /dɪˈskraɪb/,1
desk,書桌, /dɛsk/,1
dictionary,字典, /ˈdɪkʃəˌnɛri/,1
die,死亡, /daɪ/,1
different,不同的, /ˈdɪfrənt/,1
difficult,困難的, /ˈdɪfəkəlt/,1
dig,挖掘, /dɪɡ/,1
dining room,餐廳, /ˈdaɪnɪŋ rum/,1
dinner,晚餐, /ˈdɪnɚ/,1
dinosaur,恐龍, /ˈdaɪnəˌsɔr/,1
dirty,髒的, /ˈdɝti/,1
dish,盤子；菜餚, /dɪʃ/,1
do,做, /du/,1
doctor/doc,醫生, /ˈdɑktɚ/ /dɑk/,1
dog,狗, /dɔɡ/,1
doll,洋娃娃, /dɑl/,1
dollar,元（貨幣單位）, /ˈdɑlɚ/,1
door,門, /dɔr/,1
dot,點, /dɑt/,1
double,雙倍的, /ˈdʌbl/,1
doubt,懷疑, /daʊt/,1
down,向下, /daʊn/,1
dozen,一打（12個）, /ˈdʌzn/,1
draw,畫畫；拉, /drɔ/,1
dream,做夢；夢想, /drim/,1
dress,洋裝；穿衣, /drɛs/,1
drink,飲料；喝, /drɪŋk/,1
drive,開車, /draɪv/,1
driver,司機, /ˈdraɪvɚ/,1
drop,滴下；掉落, /drɑp/,1
drum,鼓, /drʌm/,1
dry,乾的, /draɪ/,1
duck,鴨子, /dʌk/,1
during,在...期間, /ˈdʊrɪŋ/,1
each,每個, /itʃ/,1
ear,耳朵, /ɪr/,1
early,早的, /ˈɝli/,1
earth,地球；土地, /ɝθ/,1
east,東方, /ist/,1
easy,容易的, /ˈizi/,1
eat,吃, /it/,1
egg,蛋, /ɛɡ/,1
eight,八, /et/,1
eighteen,十八, /ˌeˈtin/,1
eighty,八十, /ˈeti/,1
either,兩者之一；也不, /ˈiðɚ/,1
elementary school,國小, /ˌɛləˈmɛntri skul/,1
elephant,大象, /ˈɛləfənt/,1
eleven,十一, /ɪˈlɛvn/,1
else,其他的, /ɛls/,1
e-mail,電子郵件, /ˈiˌmel/,1
end,結束, /ɛnd/,1
engineer,工程師, /ˌɛndʒəˈnɪr/,1
english,英文；英國的, /ˈɪŋɡlɪʃ/,1
enjoy,享受, /ɛnˈdʒɔɪ/,1
enough,足夠的, /ɪˈnʌf/,1
enter,進入, /ˈɛntɚ/,1
envelope,信封, /ˈɛnvəˌlop/,1
eraser,橡皮擦, /ɪˈresɚ/,1
eve,前夕, /iv/,1
even,甚至；偶數的, /ˈivən/,1
evening,傍晚；晚上, /ˈivnɪŋ/,1
ever,曾經, /ˈɛvɚ/,1
every,每個, /ˈɛvri/,1
everyone/everybody,每個人, /ˈɛvriˌwʌn/ /ˈɛvriˌbɑdi/,1
everything,每件事, /ˈɛvriˌθɪŋ/,1
example,例子, /ɪɡˈzæmpl/,1
excellent,優秀的, /ˈɛksələnt/,1
except,除了...之外, /ɪkˈsɛpt/,1
excited,感到興奮的, /ɪkˈsaɪtɪd/,1
exciting,令人興奮的, /ɪkˈsaɪtɪŋ/,1
excuse,原諒；藉口, /ɪkˈskjus/,1
exercise,運動；練習, /ˈɛksɚˌsaɪz/,1
expensive,昂貴的, /ɪkˈspɛnsɪv/,1
experience,經驗；體驗, /ɪkˈspɪriəns/,1
eye,眼睛, /aɪ/,1
face,臉；面對, /fes/,1
fact,事實, /fækt/,1
factory,工廠, /ˈfæktəri/,1
fail,失敗；不及格, /fel/,1
fair,公平的；展覽會, /fɛr/,1
family,家庭, /ˈfæməli/,1
famous,著名的, /ˈfeməs/,1
fan,風扇；粉絲, /fæn/,1
far,遙遠的, /fɑr/,1
farm,農場, /fɑrm/,1
farmer,農夫, /ˈfɑrmɚ/,1
fast,快的, /fæst/,1
fat,胖的；脂肪, /fæt/,1
father,父親, /ˈfɑðɚ/,1
favorite,最喜愛的, /ˈfevərɪt/,1
february,二月, /ˈfɛbjuˌɛri/,1
feed,餵食, /fid/,1
feel,感覺, /fil/,1
feeling,感覺；情感, /ˈfilɪŋ/,1
few,很少的（可數）, /fju/,1
fifteen,十五, /fɪfˈtin/,1
fifty,五十, /ˈfɪfti/,1
fight,打架；戰鬥, /faɪt/,1
fill,填滿, /fɪl/,1
film,電影；底片, /fɪlm/,1
final,最後的, /ˈfaɪnl/,1
find,尋找；發現, /faɪnd/,1
fine,美好的；罰款, /faɪn/,1
finger,手指, /ˈfɪŋɡɚ/,1
finish,完成, /ˈfɪnɪʃ/,1
fire,火；開槍, /ˈfaɪɚ/,1
first,第一, /fɝst/,1
fish,魚；釣魚, /fɪʃ/,1
fisherman,漁夫, /ˈfɪʃɚmən/,1
five,五, /faɪv/,1
fix,修理；固定, /fɪks/,1
flag,旗幟, /flæɡ/,1
floor,地板；樓層, /flɔr/,1
flower,花朵, /ˈflaʊɚ/,1
flu,流感, /flu/,1
fly,飛；蒼蠅, /flaɪ/,1
follow,跟隨, /ˈfɑlo/,1
food,食物, /fud/,1
foot,腳；呎, /fʊt/,1
football,美式足球, /ˈfʊtˌbɔl/,1
for,為了；給, /fɔr/,1
foreign,外國的, /ˈfɔrən/,1
foreigner,外國人, /ˈfɔrənɚ/,1
forget,忘記, /fɚˈɡɛt/,1
fork,叉子, /fɔrk/,1
forty,四十, /ˈfɔrti/,1
four,四, /fɔr/,1
fourteen,十四, /fɔrˈtin/,1
fox,狐狸, /fɑks/,1
free,免費的；自由的, /fri/,1
french fries,薯條, /frɛntʃ fraɪz/,1
fresh,新鮮的, /frɛʃ/,1
friday,星期五, /ˈfraɪde/,1
friend,朋友, /frɛnd/,1
friendly,友善的, /ˈfrɛndli/,1
frog,青蛙, /frɑɡ/,1
from,來自, /frʌm/,1
front,前面, /frʌnt/,1
fruit,水果, /frut/,1
full,滿的；飽的, /fʊl/,1
fun,樂趣, /fʌn/,1
funny,好笑的, /ˈfʌni/,1
future,未來, /ˈfjutʃɚ/,1
game,遊戲；比賽, /ɡem/,1
garbage,垃圾, /ˈɡɑrbɪdʒ/,1
garden,花園, /ˈɡɑrdn/,1
gas,瓦斯；汽油, /ɡæs/,1
get,得到；到達, /ɡɛt/,1
gift,禮物；天賦, /ɡɪft/,1
girl,女孩, /ɡɝl/,1
give,給予, /ɡɪv/,1
glad,高興的, /ɡlæd/,1
glass,玻璃；玻璃杯, /ɡlæs/,1
glasses,眼鏡, /ˈɡlæsɪz/,1
glove,手套, /ɡlʌv/,1
go,去, /ɡo/,1
goat,山羊, /ɡot/,1
god,上帝；神, /ɡɑd/,1
gold,黃金, /ɡold/,1
golf,高爾夫球, /ɡɑlf/,1
good,好的, /ɡʊd/,1
good-bye/bye,再見, /ˌɡʊdˈbaɪ/ /baɪ/,1
goose,鵝, /ɡus/,1
grade,年級；成績, /ɡred/,1
gram,克（重量單位）, /ɡræm/,1
grandfather/grandpa,祖父；外公, /ˈɡrændˌfɑðɚ/ /ˈɡræmˌpɑ/,1
grandmother/grandma,祖母；外婆, /ˈɡrændˌmʌðɚ/ /ˈɡræmˌmɑ/,1
grape,葡萄, /ɡrep/,1
grass,草地, /ɡræs/,1
gray,灰色的, /ɡre/,1
great,棒的；偉大的, /ɡret/,1
green,綠色的, /ɡrin/,1
ground,地面, /ɡraʊnd/,1
group,團體, /ɡrup/,1
grow,生長；種植, /ɡro/,1
guava,芭樂, /ˈɡwɑvə/,1
guess,猜測, /ɡɛs/,1
guitar,吉他, /ɡɪˈtɑr/,1
guy,傢夥；人, /ɡaɪ/,1
habit,習慣, /ˈhæbət/,1
hair,頭髮, /hɛr/,1
haircut,理髮, /ˈhɛrˌkʌt/,1
half,一半, /hæf/,1
ham,火腿, /hæm/,1
hamburger,漢堡, /ˈhæmˌbɝɡɚ/,1
hand,手；遞給, /hænd/,1
handbag,手提包, /ˈhændˌbæɡ/,1
handsome,英俊的, /ˈhænsəm/,1
happen,發生, /ˈhæpən/,1
happy,快樂的, /ˈhæpi/,1
hard,努力的；堅硬的, /hɑrd/,1
hard-working,勤勉的, /ˈhɑrdˌwɝkɪŋ/,1
hat,帽子（有邊）, /hæt/,1
hate,討厭；恨, /het/,1
have,有；吃, /hæv/,1
he,他, /hi/,1
head,頭部, /hɛd/,1
headache,頭痛, /ˈhɛdˌek/,1
health,健康, /hɛlθ/,1
healthy,健康的, /ˈhɛlθi/,1
hear,聽見, /hɪr/,1
heart,心臟；心, /hɑrt/,1
heat,加熱；高溫, /hit/,1
heavy,沉重的, /ˈhɛvi/,1
hello,你好, /həˈlo/,1
help,幫忙, /hɛlp/,1
helpful,有幫助的, /ˈhɛlpfəl/,1
hen,母雞, /hɛn/,1
here,這裡, /hɪr/,1
hey,嗨, /he/,1
hi,嗨, /haɪ/,1
hide,躲藏, /haɪd/,1
high,高的, /haɪ/,1
hike,徒步健行, /haɪk/,1
hill,山丘, /hɪl/,1
history,歷史, /ˈhɪstəri/,1
hit,打擊；打擊樂, /hɪt/,1
hobby,嗜好, /ˈhɑbi/,1
hold,抓住；舉辦, /hold/,1
hole,洞, /hol/,1
holiday,假日, /ˈhɑləˌde/,1
home,家, /hom/,1
homemaker,家庭主婦, /ˈhomˌmekɚ/,1
homesick,想家的, /ˈhomˌsɪk/,1
homework,作業, /ˈhomˌwɝk/,1
honest,誠實的, /ˈɑnɪst/,1
hope,希望, /hop/,1
horse,馬, /hɔrs/,1
hospital,醫院, /ˈhɑspɪtl/,1
hot,熱的, /hɑt/,1
hot dog,熱狗, /hɑt dɔɡ/,1
hotel,飯店, /hoˈtɛl/,1
hour,小時, /ˈaʊɚ/,1
house,房子, /haʊs/,1
housewife,主婦, /ˈhaʊsˌwaɪf/,1
housework,家事, /ˈhaʊsˌwɝk/,1
how,如何, /haʊ/,1
however,然而, /haʊˈɛvɚ/,1
hundred,百, /ˈhʌndrəd/,1
hungry,飢餓的, /ˈhʌŋɡri/,1
hunt,打獵；尋找, /hʌnt/,1
hurry,趕快, /ˈhɝi/,1
hurt,受傷；傷害, /hɝt/,1
husband,丈夫, /ˈhʌzbənd/,1
i,我, /aɪ/,1
ice,冰, /aɪs/,1
ice cream,冰淇淋, /aɪs krim/,1
idea,想法, /aɪˈdiə/,1
if,如果, /ɪf/,1
important,重要的, /ɪmˈpɔrtnt/,1
in,在...裡面, /ɪn/,1
inside,在...內部, /ɪnˈsaɪd/,1
interest,興趣, /ˈɪntrəst/,1
interested,感興趣的, /ˈɪntrəstəd/,1
interesting,有趣的, /ˈɪntrəstɪŋ/,1
into,進入, /ˈɪntu/,1
island,島嶼, /ˈaɪlənd/,1
it,它, /ɪt/,1
jacket,夾克, /ˈdʒækɪt/,1
january,一月, /ˈdʒænjuˌɛri/,1
jeans,牛仔褲, /dʒinz/,1
job,工作, /dʒɑb/,1
jog,慢跑, /dʒɑɡ/,1
join,加入, /dʒɔɪn/,1
joy,喜悅, /dʒɔɪ/,1
juice,果汁, /dʒus/,1
july,七月, /dʒuˈlaɪ/,1
jump,跳躍, /dʒʌmp/,1
june,六月, /dʒun/,1
junior high school,國中, /ˈdʒunjɚ haɪ skul/,1
just,只是；剛剛, /dʒʌst/,1
keep,保持；保留, /kip/,1
key,鑰匙；關鍵, /ki/,1
kick,踢, /kɪk/,1
kid,小孩, /kɪd/,1
kill,殺害, /kɪl/,1
kilogram,公斤, /ˈkɪləˌɡræm/,1
kilometer,公里, /kɪˈlɑmətɚ/,1
kind,仁慈的；種類, /kaɪnd/,1
king,國王, /kɪŋ/,1
kiss,吻, /kɪs/,1
kitchen,廚房, /ˈkɪtʃən/,1
kite,風箏, /kaɪt/,1
knee,膝蓋, /ni/,1
knife,刀子, /naɪf/,1
knock,敲, /nɑk/,1
know,知道, /no/,1
knowledge,知識, /ˈnɑlɪdʒ/,1
lake,湖泊, /lek/,1
lamp,檯燈, /læmp/,1
land,土地；著陸, /lænd/,1
language,語言, /ˈlæŋɡwɪdʒ/,1
lantern,提燈；燈籠, /ˈlæntɚn/,1
large,大的, /lɑrdʒ/,1
